Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
5,7,9,-1,-1,250.27,46,49,1,2,-2,2,2,4,3,6,-1,-1,,
5,40,34,18,20,406.77,16,8,0,3,4,2,-2,4,7,-1,-1,-1,,
4,6,9,-1,-1,432.44,31,22,1,4,4,4,3,4,6,-1,-1,-1,,
20,11,36,27,23,436.04,9,13,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,402.77,26,29,1,3,4,4,4,6,-1,-1,-1,-1,,
11,51,3,21,5,411.07,2,42,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,427.04,36,0,1,4,4,4,4,6,-1,-1,-1,-1,,
28,24,42,3,9,204.75,8,15,0,2,2,-2,4,3,6,-1,-1,-1,,
4,7,9,-1,-1,389.75,23,19,1,3,4,3,4,2,6,-1,-1,-1,,
9,22,48,25,5,314.75,16,17,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,278.75,21,31,1,3,4,4,4,6,-1,-1,-1,-1,,
1,15,49,10,36,298.75,20,26,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,293.75,29,41,1,3,4,3,4,4,6,-1,-1,-1,,
40,3,1,42,34,306.25,36,12,0,2,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,285.75,8,16,1,3,4,4,4,6,-1,-1,-1,-1,,
16,30,29,44,14,256.75,28,36,0,2,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,333.75,45,25,1,3,4,3,4,3,4,3,7,-1,,
50,25,18,6,14,190.25,2,23,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,399.25,10,49,1,3,4,3,4,4,6,-1,-1,-1,,
21,27,14,45,0,173.25,43,7,0,2,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,415.75,31,48,1,3,4,4,4,6,-1,-1,-1,-1,,
11,43,10,16,47,97.25,1,48,0,2,2,-2,4,4,7,-1,-1,-1,,
4,7,9,-1,-1,488.75,15,14,1,3,4,3,4,4,6,-1,-1,-1,,
26,33,21,5,34,506.25,49,41,0,2,2,3,6,-1,-1,-1,-1,-1,,
7,7,7,-1,-1,79.25,45,44,1,2,9,-2,6,-1,-1,-1,-1,-1,,
4,35,27,44,10,214.5,25,22,0,3,2,-2,2,-2,4,7,-1,-1,,
