Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
4,6,8,-1,-1,811.85,36,35,1,3,4,4,4,6,-1,-1,-1,-1
17,3,1,11,29,166.6,51,33,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,796.85,9,48,0,2,2,-2,4,3,6,-1,-1,-1
9,11,51,22,39,109.6,34,14,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,851.35,44,30,0,2,4,3,4,6,-1,-1,-1,-1
16,31,23,37,42,85.6,22,18,0,3,2,-2,2,-2,9,-2,6,-1
5,8,11,-1,-1,874.85,-1,-1,1,4,4,3,4,3,4,3,7,-1
25,37,0,26,14,83.7,24,13,1,3,4,9,6,-1,-1,-1,-1,-1
4,8,8,-1,-1,875.75,-1,-1,0,2,2,3,7,-1,-1,-1,-1,-1
5,17,49,41,27,166.9,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,792.05,40,10,1,4,4,4,4,6,-1,-1,-1,-1
42,29,16,35,3,162.9,48,51,1,2,-2,2,9,6,-1,-1,-1,-1
5,7,9,-1,-1,795.65,-1,-1,0,2,3,3,3,7,-1,-1,-1,-1
3,38,5,1,10,321.3,19,39,1,3,4,3,4,4,6,-1,-1,-1
4,7,9,-1,-1,636.75,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1
4,12,16,43,23,400,17,49,1,2,-2,6,-1,-1,-1,-1,-1,-1
5,5,5,-1,-1,80,48,41,0,2,9,6,-1,-1,-1,-1,-1,-1
26,47,6,28,7,400,-1,-1,0,2,4,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,159.5,31,37,1,3,4,2,2,6,-1,-1,-1,-1
17,4,29,46,44,400,-1,-1,1,3,4,4,3,4,3,7,-1,-1
4,6,9,-1,-1,187,48,45,0,2,4,2,-2,2,-2,6,-1,-1
38,34,10,42,17,326.8,30,25,1,3,4,4,2,6,-1,-1,-1,-1
4,6,8,-1,-1,630.25,-1,-1,0,2,4,4,3,7,-1,-1,-1,-1
35,48,29,32,27,279.8,22,44,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,673.85,-1,-1,0,2,4,3,4,7,-1,-1,-1,-1
11,44,18,32,30,328.8,17,5,1,3,4,3,4,2,6,-1,-1,-1
4,7,9,-1,-1,623.85,-1,-1,0,2,2,-2,4,3,7,-1,-1,-1
29,23,26,51,42,515.5,17,49,1,3,4,2,4,3,6,-1,-1,-1
4,6,8,-1,-1,173,8,50,0,2,4,3,2,-2,6,-1,-1,-1
2,38,13,30,7,217.8,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
4,6,8,-1,-1,732.85,31,51,0,2,4,4,2,-2,6,-1,-1,-1
