Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9
4,6,8,-1,-1,200,45,7,0,2,4,4,4,6,-1,-1,-1,-1
4,29,3,46,39,172.95,0,50,0,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,212,33,14,1,4,4,4,4,6,-1,-1,-1,-1
38,39,15,13,48,219,40,4,0,2,3,3,4,2,-2,6,-1,-1
5,7,9,-1,-1,203,50,47,1,2,-2,2,4,4,3,6,-1,-1
49,4,2,23,18,1030.5,6,10,1,3,4,2,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,45,47,0,2,4,3,4,6,-1,-1,-1,-1
10,48,42,1,15,179.4,40,51,0,2,2,-2,2,-2,2,-2,6,-1
4,7,10,-1,-1,267.5,-1,-1,1,3,4,3,4,3,4,3,7,-1
46,28,44,6,33,168.75,-1,-1,0,3,4,3,4,7,-1,-1,-1,-1
4,6,8,-1,-1,215.5,17,30,1,4,4,2,4,6,-1,-1,-1,-1
24,9,45,47,18,1012.5,0,44,0,2,3,3,2,-2,6,-1,-1,-1
5,7,10,-1,-1,217,21,17,1,2,-2,2,2,9,6,-1,-1,-1
5,12,19,45,9,267.9,46,26,0,2,3,3,4,4,6,-1,-1,-1
5,7,9,-1,-1,200,51,38,1,2,-2,2,4,4,6,-1,-1,-1
25,46,14,18,35,1229,51,43,1,2,-2,4,4,4,6,-1,-1,-1
5,7,9,-1,-1,200,2,1,0,2,3,4,4,4,6,-1,-1,-1
22,43,5,41,24,299.4,42,29,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,200,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1
26,44,36,5,20,575.8,11,10,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,249,28,25,0,2,4,4,4,6,-1,-1,-1,-1
4,38,35,36,13,304.9,-1,-1,0,2,3,4,4,4,7,-1,-1,-1
5,7,9,-1,-1,200,49,46,1,2,-2,4,4,4,6,-1,-1,-1
19,1,12,30,35,175.35,23,37,1,3,4,4,4,6,-1,-1,-1,-1
4,6,8,-1,-1,206.5,45,40,0,2,4,4,4,6,-1,-1,-1,-1
27,30,16,29,25,169.35,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,212,34,9,1,4,4,4,4,6,-1,-1,-1,-1
9,28,11,15,6,158.35,-1,-1,0,3,3,3,4,4,7,-1,-1,-1
5,7,9,-1,-1,222.3,2,49,1,2,-2,2,4,4,6,-1,-1,-1
14,29,49,2,1,139.35,-1,-1,0,3,3,3,4,4,7,-1,-1,-1
5,7,9,-1,-1,240.8,36,30,1,2,-2,2,4,4,6,-1,-1,-1
22,32,39,44,47,123.65,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1
4,6,8,-1,-1,254.6,33,16,1,4,4,4,4,6,-1,-1,-1,-1
14,25,46,18,41,564.8,36,45,0,2,3,2,-2,2,-2,4,6,-1
5,8,11,-1,-1,257.5,37,38,1,2,-2,4,3,4,3,4,6,-1
45,15,50,43,16,663.3,32,37,1,3,4,2,2,2,6,-1,-1,-1
4,8,10,-1,-1,200,-1,-1,0,2,2,3,3,9,7,-1,-1,-1
33,17,41,30,13,148.95,31,6,0,3,3,3,2,-2,6,-1,-1,-1
4,6,8,-1,-1,226.7,36,26,1,4,2,2,4,3,6,-1,-1,-1
25,6,33,27,3,346.4,-1,-1,0,2,2,3,4,4,7,-1,-1,-1
4,8,10,-1,-1,200,42,28,1,3,4,2,4,4,6,-1,-1,-1
8,42,13,4,23,857.8,32,41,1,3,4,3,4,3,4,6,-1,-1
4,7,10,-1,-1,204.5,-1,-1,0,2,2,-2,2,-2,4,7,-1,-1
15,0,48,9,20,314.5,19,17,1,3,4,4,3,4,6,-1,-1,-1
4,6,9,-1,-1,97.3,32,50,0,2,4,2,-2,4,6,-1,-1,-1
44,7,26,47,9,124.75,40,29,1,3,2,2,2,6,-1,-1,-1,-1
4,6,8,-1,-1,250.2,20,25,0,2,3,3,3,6,-1,-1,-1,-1
11,38,48,18,24,119.45,-1,-1,0,3,3,3,3,7,-1,-1,-1,-1
4,6,8,-1,-1,253.7,19,37,1,4,2,2,2,6,-1,-1,-1,-1
21,13,25,29,47,328.6,4,16,0,2,4,4,2,-2,6,-1,-1,-1
4,6,8,-1,-1,215,-1,-1,1,3,4,4,4,3,7,-1,-1,-1
41,37,12,15,35,841.1,39,49,1,2,-2,2,4,2,6,-1,-1,-1
5,7,9,-1,-1,244.8,19,43,0,2,3,3,4,3,6,-1,-1,-1
13,19,46,9,33,83.95,-1,-1,0,3,4,4,3,7,-1,-1,-1,-1
4,6,8,-1,-1,287.7,34,15,1,4,4,4,2,6,-1,-1,-1,-1
