Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
4,6,8,-1,-1,50.4,18,31,1,4,4,4,2,6,-1,-1,-1,-1,,
9,28,47,8,41,15.55,27,49,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,40.8,35,26,1,4,4,4,4,6,-1,-1,-1,-1,,
10,11,22,26,31,64.15,16,9,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,16.95,-1,-1,1,4,4,4,4,3,7,-1,-1,-1,,
8,43,11,1,45,65.1,40,44,1,4,2,2,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,15.95,-1,-1,0,3,3,3,3,7,-1,-1,-1,-1,,
2,33,27,6,17,16.25,26,11,0,3,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,40.05,50,18,1,4,4,3,4,3,4,6,-1,-1,,
10,50,3,5,37,17.65,38,2,1,4,4,3,4,3,4,6,-1,-1,,
4,7,10,-1,-1,38.55,-1,-1,0,3,2,-2,2,-2,4,7,-1,-1,,
9,1,26,31,19,71.05,39,46,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,9.45,2,4,0,3,4,4,4,6,-1,-1,-1,-1,,
34,0,42,12,51,70.55,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,9.9,28,13,1,4,4,4,4,6,-1,-1,-1,-1,,
10,17,44,43,45,70.2,34,50,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,10.05,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
31,17,7,10,33,25.7,45,26,1,3,4,4,2,6,-1,-1,-1,-1,,
4,6,8,-1,-1,29.5,50,42,0,2,4,4,3,6,-1,-1,-1,-1,,
34,33,10,49,38,71.1,25,27,1,2,-2,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,9.05,-1,-1,0,3,3,4,4,4,7,-1,-1,-1,,
19,21,27,10,30,11.3,29,32,0,2,3,2,2,-2,9,-2,6,-1,,
4,6,11,-1,-1,50.85,-1,-1,1,3,2,4,2,3,2,3,7,-1,,
23,39,35,5,17,11.6,20,48,0,2,2,-2,2,-2,4,6,-1,-1,,
4,7,10,-1,-1,10.65,15,13,1,3,4,3,4,3,4,6,-1,-1,,
33,11,44,28,48,23.9,18,46,0,2,3,3,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,30.85,47,7,1,3,2,2,4,6,-1,-1,-1,-1,,
11,10,41,5,3,23.65,33,35,1,9,-2,6,-1,-1,-1,-1,-1,-1,,
5,5,5,-1,-1,30.6,-1,-1,0,2,3,7,-1,-1,-1,-1,-1,-1,,
35,22,4,34,12,14.8,29,5,0,3,2,-2,2,-2,2,-2,6,-1,,
4,7,10,-1,-1,7.15,41,23,1,4,4,3,4,3,4,3,6,-1,,
2,44,50,0,19,22.1,38,4,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,39.55,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
24,14,4,15,3,49.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,50.5,32,43,1,4,4,4,4,6,-1,-1,-1,-1,,
38,19,14,22,48,72.65,17,42,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,6.8,20,31,0,3,4,4,4,6,-1,-1,-1,-1,,
41,8,36,32,12,46.3,18,29,1,4,2,2,2,6,-1,-1,-1,-1,,
5,7,9,-1,-1,15.45,40,30,0,3,3,3,3,6,-1,-1,-1,-1,,
30,17,38,41,13,15,8,12,0,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,35,6,20,1,4,4,4,4,6,-1,-1,-1,-1,,
37,15,29,4,39,15.35,32,10,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,5.9,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
51,43,6,12,9,59.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,50,8,29,1,4,4,4,4,6,-1,-1,-1,-1,,
35,24,5,51,12,15.8,-1,-1,0,3,3,4,4,3,7,-1,-1,-1,,
5,7,9,-1,-1,5.4,33,40,1,2,-2,4,4,2,6,-1,-1,-1,,
12,4,48,31,8,42.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,18.8,47,3,1,4,4,4,4,6,-1,-1,-1,-1,,
8,45,0,29,27,15.7,42,36,1,4,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,35.7,2,22,0,3,4,4,4,6,-1,-1,-1,-1,,
31,42,5,18,44,58.5,-1,-1,0,3,4,4,4,7,-1,-1,-1,-1,,
4,6,8,-1,-1,50.95,49,10,1,4,4,4,4,6,-1,-1,-1,-1,,
30,34,40,35,7,75.25,48,51,0,3,3,6,-1,-1,-1,-1,-1,-1,,
