Flop0,Flop1,Flop2,Turn,River,Chips,Hands0,Hands1,Action0,Action1,Action2,Action3,Action4,Action5,Action6,Action7,Action8,Action9,,
28,25,36,41,51,320.65,26,0,1,4,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,96.3,22,27,0,3,2,-2,4,4,6,-1,-1,-1,,
14,29,8,36,41,320.5,10,9,0,2,2,-2,2,2,-2,6,-1,-1,,
4,7,12,-1,-1,96.1,16,0,1,3,4,3,4,2,9,6,-1,-1,,
44,32,20,35,2,620.85,17,23,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,207.05,-1,-1,1,4,4,4,4,3,7,-1,-1,-1,,
21,16,43,1,25,624.5,33,19,1,3,4,4,4,6,-1,-1,-1,-1,,
4,6,8,-1,-1,203.05,-1,-1,0,2,4,4,4,7,-1,-1,-1,-1,,
4,28,2,9,32,623,48,31,0,3,3,4,4,2,-2,6,-1,-1,,
5,7,9,-1,-1,206.5,34,18,1,2,-2,4,4,2,3,6,-1,-1,,
2,40,21,42,23,535,-1,-1,1,2,-2,4,4,3,4,3,7,-1,,
5,7,10,-1,-1,291.5,22,37,0,2,3,4,2,-2,2,-2,6,-1,,
37,43,16,42,9,492.5,1,17,0,3,3,3,4,2,-2,6,-1,-1,,
5,7,9,-1,-1,333,23,20,1,2,-2,2,4,4,3,6,-1,-1,,
27,29,0,20,2,459.5,40,22,1,3,4,4,3,4,6,-1,-1,-1,,
4,6,9,-1,-1,365.5,-1,-1,0,2,4,2,-2,4,7,-1,-1,-1,,
29,40,13,22,38,463,50,28,1,3,4,4,3,4,6,-1,-1,-1,,
4,6,9,-1,-1,361,-1,-1,0,2,4,2,-2,4,7,-1,-1,-1,,
48,5,22,2,39,476.5,18,50,0,3,3,2,-2,2,-2,6,-1,-1,,
4,6,9,-1,-1,347,-1,-1,1,4,2,4,3,4,3,7,-1,-1,,
33,28,17,35,15,202,-1,-1,1,3,4,3,4,3,4,3,7,-1,,
4,7,10,-1,-1,200,23,26,0,2,2,-2,2,-2,2,-2,6,-1,,
13,10,6,2,20,500.8,34,33,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,320.5,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
12,34,15,47,11,514.3,18,6,0,3,4,4,2,-2,6,-1,-1,-1,,
4,6,8,-1,-1,306.5,42,8,1,4,4,4,4,3,6,-1,-1,-1,,
31,19,50,1,38,488.6,46,32,0,3,3,4,4,4,6,-1,-1,-1,,
5,7,9,-1,-1,329.65,42,35,1,2,-2,4,4,4,6,-1,-1,-1,,
48,22,4,39,5,486.1,33,32,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,331.15,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
48,23,25,14,6,497.6,40,20,1,3,4,3,4,4,6,-1,-1,-1,,
4,7,9,-1,-1,318.95,-1,-1,0,2,2,-2,4,4,7,-1,-1,-1,,
4,12,17,39,41,52,13,22,1,3,9,6,-1,-1,-1,-1,-1,-1,,
